event_id,num_rows,duration_ms,rows_per_10ms,total_piezo_sum,total_piezo_max_sum,p1_sum_share,p2_sum_share,p3_sum_share,p1_peak_share,p2_peak_share,p3_peak_share,dominant_peak_sensor,dominant_sum_sensor,dominant_peak_margin,dominant_sum_margin,max_p1_minus_p2,max_p1_minus_p3,max_p2_minus_p3,sum_p1_minus_p2,sum_p1_minus_p3,sum_p2_minus_p3,p1_over_p2_peak,p1_over_p3_peak,p2_over_p3_peak,p1_over_p2_sum,p1_over_p3_sum,p2_over_p3_sum,overall_peak_value,overall_peak_idx,overall_peak_time_ms,overall_peak_pos_frac,overall_peak_sensor,p1_at_overall_peak,p2_at_overall_peak,p3_at_overall_peak,ax_at_overall_peak,ay_at_overall_peak,az_at_overall_peak,amag_at_overall_peak,p1_max,p1_min,p1_sum,p1_mean,p1_first,p1_last,p1_peak_idx,p1_peak_time_ms,p1_peak_pos_frac,p1_time_after_peak_ms,p1_first_half_sum,p1_second_half_sum,p1_pre_peak_sum,p1_post_peak_sum,p1_rise_slope,p1_fall_slope,p1_rows_above_50pct,p1_rows_above_75pct,p1_rows_above_90pct,p1_peak_concentration,p1_peak_sharpness,p2_max,p2_min,p2_sum,p2_mean,p2_first,p2_last,p2_peak_idx,p2_peak_time_ms,p2_peak_pos_frac,p2_time_after_peak_ms,p2_first_half_sum,p2_second_half_sum,p2_pre_peak_sum,p2_post_peak_sum,p2_rise_slope,p2_fall_slope,p2_rows_above_50pct,p2_rows_above_75pct,p2_rows_above_90pct,p2_peak_concentration,p2_peak_sharpness,p3_max,p3_min,p3_sum,p3_mean,p3_first,p3_last,p3_peak_idx,p3_peak_time_ms,p3_peak_pos_frac,p3_time_after_peak_ms,p3_first_half_sum,p3_second_half_sum,p3_pre_peak_sum,p3_post_peak_sum,p3_rise_slope,p3_fall_slope,p3_rows_above_50pct,p3_rows_above_75pct,p3_rows_above_90pct,p3_peak_concentration,p3_peak_sharpness,peak_idx_diff_p1_p2,peak_idx_diff_p1_p3,peak_idx_diff_p2_p3,ax_abs_max,ay_abs_max,az_abs_max,ax_mean,ay_mean,az_mean,amag_max,amag_mean,amag_sum,amag_peak_idx,amag_peak_time_ms,amag_peak_pos_frac,amag_peak_minus_overall_piezo_peak_idx,label
1,4,23,1.7391304347826086,883,407,0.711211778029445,0.2876557191392978,0.0011325028312570782,0.7051597051597052,0.29238329238329236,0.002457002457002457,1,1,168,374,168,286,118,374,627,253,2.411764705882353,287.0,119.0,2.47244094488189,628.0,254.0,287,1,7,0.3333333333333333,1,287,51,1,-13088,4080,-3620,14179.088264059857,287,0,628,157.0,253,0,1,7,0.3333333333333333,16,540,88,540,375,4.857142857142857,17.9375,2,2,1,1.0,116.5,119,0,254,63.5,0,84,2,16,0.6666666666666666,7,51,203,170,203,7.4375,5.0,2,1,1,1.0,51.5,1,0,1,0.25,0,0,1,7,0.3333333333333333,16,1,0,1,1,0.14285714285714285,0.0625,1,1,1,1.0,1.0,-1,0,1,32767,32767,32768,17231.5,5690.75,-10556.0,56754.686167751825,31549.212199820402,126196.84879928161,0,0,0.0,-1,jab
2,3,15,2.0,611,264,0.9067103109656302,0.09328968903436989,0.0,0.8068181818181818,0.19318181818181818,0.0,1,1,162,497,162,213,51,497,554,57,4.176470588235294,213.0,51.0,9.719298245614034,554.0,57.0,213,1,7,0.5,1,213,6,0,32767,-2356,728,32859.65625200605,213,166,554,184.66666666666666,175,166,1,7,0.5,8,175,379,388,379,5.428571428571429,5.875,3,3,1,1.0,42.5,51,0,57,19.0,0,51,2,15,1.0,0,0,57,57,51,3.4,0.0,1,1,1,1.0,22.5,0,0,0,0.0,0,0,0,0,0.0,15,0,0,0,0,0.0,0.0,3,3,3,0.0,0.0,-1,1,2,32767,12624,14604,32767.0,850.6666666666666,-5225.333333333333,38030.49409355603,34867.156034615386,104601.46810384616,0,0,0.0,-1,jab
3,5,31,1.6129032258064515,798,298,0.7030075187969925,0.29699248120300753,0.0,0.697986577181208,0.30201342281879195,0.0,1,1,118,324,118,208,90,324,561,237,2.311111111111111,208.0,90.0,2.367088607594937,561.0,237.0,208,1,8,0.25,1,208,0,0,32767,-2816,-32768,46425.72529320355,208,0,561,112.2,136,0,1,8,0.25,23,344,217,344,425,9.0,9.043478260869565,3,2,2,0.9500891265597148,45.5,90,0,237,47.4,0,65,3,24,0.75,7,0,237,172,155,3.75,3.5714285714285716,3,2,2,1.0,16.5,0,0,0,0.0,0,0,0,0,0.0,31,0,0,0,0,0.0,0.0,5,5,5,0.0,0.0,-2,1,3,32767,16428,32768,16685.8,-4158.4,-8281.6,47688.63295377631,36126.82200516679,180634.11002583394,0,0,0.0,-1,jab
4,2,8,2.5,327,209,0.7614678899082569,0.23853211009174313,0.0,0.6267942583732058,0.37320574162679426,0.0,1,1,53,171,53,131,78,171,249,78,1.6794871794871795,131.0,78.0,3.1923076923076925,249.0,78.0,131,0,0,0.0,1,131,0,0,32767,-15860,-32768,48979.15590330237,131,118,249,124.5,131,118,0,0,0.0,8,131,118,131,249,0.0,1.625,2,2,2,1.0,6.5,78,0,78,39.0,0,78,1,8,1.0,0,0,78,78,78,9.75,0.0,1,1,1,1.0,39.0,0,0,0,0.0,0,0,0,0,0.0,8,0,0,0,0,0.0,0.0,2,2,2,0.0,0.0,-1,0,1,32768,22576,32768,-0.5,-19218.0,-6408.0,48979.15590330237,46746.59877655046,93493.19755310092,0,0,0.0,0,jab
5,5,31,1.6129032258064515,1473,546,0.7881873727087576,0.2111337406653089,0.0006788866259334691,0.7765567765567766,0.2216117216117216,0.0018315018315018315,1,1,303,850,303,423,120,850,1160,310,3.5041322314049586,424.0,121.0,3.733118971061093,1161.0,311.0,424,1,8,0.25,1,424,0,0,32767,12956,-32768,48117.3154799808,424,0,1161,232.2,336,0,1,8,0.25,23,760,401,760,825,11.0,18.434782608695652,3,3,1,0.9397071490094746,90.5,121,0,311,62.2,0,73,3,23,0.75,8,0,311,238,194,5.260869565217392,6.0,3,2,2,1.0,26.0,1,0,1,0.2,0,0,2,15,0.5,16,0,1,1,1,0.06666666666666667,0.0625,1,1,1,1.0,1.0,-2,-1,1,32768,29124,32768,15424.2,1210.4,-11109.6,54732.30754316869,40104.39281715944,200521.9640857972,0,0,0.0,-1,jab
6,5,30,1.6666666666666665,990,429,0.6454545454545455,0.35454545454545455,0.0,0.6456876456876457,0.3543123543123543,0.0,1,1,125,288,125,277,152,288,639,351,1.8223684210526316,277.0,152.0,1.8205128205128205,639.0,351.0,277,1,7,0.25,1,277,0,0,32767,-6152,-32768,46746.82039454662,277,0,639,127.8,146,0,1,7,0.25,23,423,216,423,493,18.714285714285715,12.043478260869565,3,2,1,1.0,96.0,152,0,351,70.2,0,69,2,15,0.5,15,0,351,152,351,10.133333333333333,5.533333333333333,2,2,1,0.8034188034188035,87.0,0,0,0,0.0,0,0,0,0,0.0,30,0,0,0,0,0.0,0.0,5,5,5,0.0,0.0,-1,1,2,32768,19328,32768,13511.4,-5813.6,-11492.8,47265.024373208566,38010.84608694426,190054.23043472128,0,0,0.0,-1,jab
7,3,16,1.875,515,302,0.9805825242718447,0.019417475728155338,0.0,0.9668874172185431,0.033112582781456956,0.0,1,1,282,495,282,292,10,495,505,10,29.2,292.0,10.0,50.5,505.0,10.0,292,0,0,0.0,1,292,0,0,32767,31608,-27196,53031.72983224288,292,78,505,168.33333333333334,292,78,0,0,0.0,16,292,213,292,505,0.0,13.375,1,1,1,0.8455445544554455,78.5,10,0,10,3.3333333333333335,0,10,2,16,1.0,0,0,10,10,10,0.625,0.0,1,1,1,1.0,5.0,0,0,0,0.0,0,0,0,0,0.0,16,0,0,0,0,0.0,0.0,3,3,3,0.0,0.0,-2,0,2,32767,31608,32768,30187.333333333332,15548.0,-19393.333333333332,53031.72983224288,42565.47191692715,127696.41575078145,0,0,0.0,0,jab
8,5,31,1.6129032258064515,1789,919,0.8311906092789267,0.16880939072107323,0.0,0.8258977149075082,0.17410228509249184,0.0,1,1,599,1185,599,759,160,1185,1487,302,4.74375,759.0,160.0,4.923841059602649,1487.0,302.0,759,1,8,0.25,1,759,0,0,32767,32767,-32768,56754.686167751825,759,0,1487,297.4,140,0,1,8,0.25,23,899,588,899,1347,77.375,33.0,2,2,1,1.0,395.0,160,0,302,60.4,0,88,3,23,0.75,8,0,302,214,248,6.956521739130435,9.0,2,1,1,1.0,89.0,0,0,0,0.0,0,0,0,0,0.0,31,0,0,0,0,0.0,0.0,5,5,5,0.0,0.0,-2,1,3,32767,32767,32768,11090.6,5502.8,-10072.8,56754.686167751825,41086.905727748024,205434.52863874013,1,8,0.25,0,jab
9,6,38,1.5789473684210527,1761,725,0.5315161839863713,0.46621237932992615,0.002271436683702442,0.5682758620689655,0.4262068965517241,0.005517241379310344,1,1,103,115,103,408,305,115,932,817,1.3333333333333333,103.0,77.25,1.1400730816077953,234.0,205.25,412,1,8,0.2,1,412,2,0,32767,-24752,-32768,52536.4598826377,412,0,936,156.0,297,0,1,8,0.2,30,936,0,709,639,14.375,13.733333333333333,3,1,1,1.0,150.0,309,0,821,136.83333333333334,0,63,2,16,0.4,22,311,510,311,819,19.3125,11.181818181818182,3,2,2,0.7247259439707674,166.0,4,0,4,0.6666666666666666,0,0,2,16,0.4,22,4,0,4,4,0.25,0.18181818181818182,1,1,1,1.0,4.0,-1,-1,0,32768,24752,32768,12785.5,-3355.3333333333335,-6416.0,52536.4598826377,36467.35426128909,218804.12556773453,1,8,0.2,0,jab
10,4,24,1.6666666666666665,940,451,0.6117021276595744,0.3882978723404255,0.0,0.6762749445676275,0.3237250554323725,0.0,1,1,159,210,159,305,146,210,575,365,2.089041095890411,305.0,146.0,1.5753424657534247,575.0,365.0,305,0,0,0.0,1,305,0,0,32767,16224,-32768,49098.23101701323,305,0,575,143.75,305,0,0,0,0.0,24,575,0,305,575,0.0,12.708333333333334,2,2,1,1.0,17.5,146,0,365,91.25,0,110,2,15,0.6666666666666666,9,109,256,255,256,9.733333333333333,4.0,3,2,1,1.0,36.5,0,0,0,0.0,0,0,0,0,0.0,24,0,0,0,0,0.0,0.0,4,4,4,0.0,0.0,-2,0,2,32768,24064,32768,11571.5,-8421.0,-11496.0,50422.831822498825,38960.084248084975,155840.3369923399,2,15,0.6666666666666666,2,jab
